angle_start_deg,angle_end_deg,samples,median_ratio,p25_ratio,p75_ratio,median_speed_mps
0,5,10002,19.679678,16.258724,24.141816,18.686058
5,10,11125,20.665984,18.497648,23.359430,14.576530
10,15,4713,19.948804,18.311358,21.845652,11.952736
15,20,4009,19.330348,18.226264,20.695995,11.570472
20,25,3046,19.362985,18.487039,20.457300,11.655944
25,30,1462,19.307147,17.621741,20.642590,10.293124
30,35,976,19.150893,17.682956,20.358107,10.432328
35,40,785,18.394874,17.519751,19.719835,9.969523
40,45,610,18.300584,17.381049,19.512763,8.978346
45,50,420,18.578655,17.095900,19.373277,9.172861
50,55,570,18.087309,17.352775,19.071008,9.167400
55,60,578,17.979249,17.532082,19.232178,8.839841
60,65,314,18.036352,17.117647,18.778472,9.230430
65,70,324,17.710230,17.075775,18.398436,7.881256
70,75,253,17.497041,16.665691,18.250455,8.498012
75,80,147,17.279111,15.942476,18.759456,5.784172
80,85,153,17.025118,15.671556,17.997146,5.593985
85,90,120,17.088272,15.714987,18.163371,5.437557
90,95,103,16.797072,15.074965,17.878308,5.439507
105,110,105,16.530043,15.346252,17.588622,5.051429
180,185,108,15.739778,15.386644,15.983479,5.617029
215,220,107,15.319622,15.195210,15.509396,4.116036
245,250,130,15.279368,15.161554,15.420273,3.399871
